D	K	P
0	3	1
1	3	1
2	3	1
3	3	1
4	3	1
5	3	1
6	3	1
7	3	1
8	3	1
9	3	1
10	3	1
11	3	1
12	3	1
13	3	1
14	3	1
15	3	1
16	3	1
17	3	1
18	3	1
19	3	1
20	3	1
21	3	1
22	3	1
23	3	1
24	3	1
25	3	1
26	3	1
27	3	1

0	4	1
1	4	1
2	4	1
3	4	1
4	4	1
5	4	1
6	4	1
7	4	1
8	4	0.985915492957746
9	4	1
10	4	0.984544049459042
11	4	0.960674157303371
12	4	0.948051948051948
13	4	0.908263836239575
14	4	0.868712273641851
15	4	0.817787794729542
16	4	0.770607573359308
17	4	0.721806429664909
18	4	0.70126079850572
19	4	0.685523419701124
20	4	0.645689360695798
21	4	0.616286869693543
22	4	0.59364771311879
23	4	0.56863043643759
24	4	0.544888817143549
25	4	0.513642345549484
26	4	0.482225331059198
27	4	0.448446932636134

0	5	1
1	5	1
2	5	1
3	5	1
4	5	0.9375
5	5	1
6	5	0.967213114754098
7	5	0.991666666666667
8	5	0.990697674418605
9	5	0.979643765903308
10	5	0.978723404255319
11	5	0.951762523191095
12	5	0.928074245939675
13	5	0.888101454681089
14	5	0.834776156319565
15	5	0.778498293515358
16	5	0.717696460707858
17	5	0.67612772427775
18	5	0.661588368186294
19	5	0.628387935318628
20	5	0.57355568790947
21	5	0.553412046479427
22	5	0.536553235155448
23	5	0.504510070431237
24	5	0.474142130743233
25	5	0.444374108925007
26	5	0.414013534989197
27	5	0.380700983640737

0	6	1
1	6	1
2	6	1
3	6	1
4	6	1
5	6	1
6	6	0.983606557377049
7	6	1
8	6	0.976525821596244
9	6	0.99234693877551
10	6	0.973724884080371
11	6	0.946728971962617
12	6	0.921499707088459
13	6	0.870641169853768
14	6	0.827568922305764
15	6	0.760427438814202
16	6	0.707755895939703
17	6	0.662195642887655
18	6	0.643476223940033
19	6	0.601929708993684
20	6	0.543775290346314
21	6	0.533080536532911
22	6	0.519151827813835
23	6	0.480483956890546
24	6	0.446905920091565
25	6	0.42123630796249
26	6	0.390199199344041
27	6	0.356499783213038

0	7	1
1	7	1
2	7	1
3	7	1
4	7	0.875
5	7	1
6	7	0.967741935483871
7	7	0.983471074380165
8	7	0.981566820276498
9	7	0.982188295165394
10	7	0.974164133738602
11	7	0.930846223839854
12	7	0.903448275862069
13	7	0.86728624535316
14	7	0.822696796622796
15	7	0.754627271183563
16	7	0.700346351367491
17	7	0.653116075928104
18	7	0.62990182006086
19	7	0.591870972661761
20	7	0.528817403856068
21	7	0.523514049158162
22	7	0.503226419964408
23	7	0.469491950448869
24	7	0.439229001561441
25	7	0.409981066026728
26	7	0.379969155480502
27	7	0.346173770397444

0	8	1
1	8	1
2	8	1
3	8	1
4	8	0.9375
5	8	0.96875
6	8	0.967213114754098
7	8	1
8	8	0.986111111111111
9	8	0.977329974811083
10	8	0.964885496183206
11	8	0.932344763670065
12	8	0.909090909090909
13	8	0.861378799110452
14	8	0.811929997535125
15	8	0.745774171737661
16	8	0.693473332537883
17	8	0.650975793617556
18	8	0.627932195650933
19	8	0.587847813742192
20	8	0.519789932112207
21	8	0.511518708730741
22	8	0.502678463542016
23	8	0.463189910538257
24	8	0.431673061714654
25	8	0.402639702086057
26	8	0.372772371354986
27	8	0.341395500607291

0	9	1
1	9	1
2	9	1
3	9	1
4	9	0.875
5	9	1
6	9	0.950819672131147
7	9	0.975206611570248
8	9	0.972222222222222
9	9	0.972222222222222
10	9	0.963302752293578
11	9	0.934126258005489
12	9	0.91002277904328
13	9	0.854219948849105
14	9	0.81089588377724
15	9	0.748751248751249
16	9	0.692919836161498
17	9	0.643626202021862
18	9	0.623637793506348
19	9	0.583320889950724
20	9	0.514750120073814
21	9	0.510172710009947
22	9	0.496351236599087
23	9	0.458314176994786
24	9	0.430069349729024
25	9	0.399703642813879
26	9	0.371247593722122
27	9	0.338032293753118

0	10	1
1	10	1
2	10	1
3	10	1
4	10	0.875
5	10	0.96875
6	10	0.983870967741935
7	10	1
8	10	0.976744186046512
9	10	0.971867007672634
10	10	0.969278033794163
11	10	0.931922723091076
12	10	0.908145580589255
13	10	0.859328358208955
14	10	0.815376959442647
15	10	0.749099639855942
16	10	0.691098209966134
17	10	0.645125679347826
18	10	0.62436165273909
19	10	0.578763037370588
20	10	0.513596033402923
21	10	0.510899818803355
22	10	0.495412844036697
23	10	0.459646681589933
24	10	0.428799500998745
25	10	0.402651934932365
26	10	0.370882973564529
27	10	0.34167144811758
