D	K	P
0	3	1
1	3	1
2	3	1
3	3	1
4	3	1
5	3	1
6	3	1
7	3	1
8	3	1
9	3	1
10	3	1
11	3	1
12	3	1
13	3	1
14	3	1
15	3	1
16	3	1
17	3	1
18	3	1
19	3	1
20	3	1
21	3	1
22	3	1
23	3	1
24	3	1
25	3	1

0	4	1
1	4	1
2	4	1
3	4	0.875
4	4	0.933333333333333
5	4	0.925925925925926
6	4	0.816326530612245
7	4	0.898876404494382
8	4	0.833333333333333
9	4	0.825
10	4	0.819277108433735
11	4	0.763490241102181
12	4	0.725016767270288
13	4	0.732502011263073
14	4	0.695972495088409
15	4	0.6515266595777
16	4	0.636232163517162
17	4	0.599553128103277
18	4	0.557769908589311
19	4	0.520930495491676
20	4	0.475920393993218
21	4	0.434457325091063
22	4	0.392565935773893
23	4	0.359998798401874
24	4	0.321426665005961
25	4	0.291083408388818

0	5	1
1	5	1
2	5	1
3	5	0.875
4	5	0.933333333333333
5	5	0.925925925925926
6	5	0.875
7	5	0.842696629213483
8	5	0.775641025641026
9	5	0.793478260869565
10	5	0.786150712830957
11	5	0.730994152046784
12	5	0.704918032786885
13	5	0.69922353902738
14	5	0.659124813525609
15	5	0.635704366610091
16	5	0.590715254894359
17	5	0.557229480527599
18	5	0.507940426232206
19	5	0.459312536589445
20	5	0.411514402808008
21	5	0.362254500524403
22	5	0.320519629973886
23	5	0.279818548934745
24	5	0.245089513064598
25	5	0.211641430134147

0	6	1
1	6	1
2	6	1
3	6	1
4	6	0.875
5	6	0.928571428571429
6	6	0.784313725490196
7	6	0.83695652173913
8	6	0.767295597484277
9	6	0.782918149466192
10	6	0.7534516765286
11	6	0.722543352601156
12	6	0.696682464454976
13	6	0.693241602590045
14	6	0.656165395028304
15	6	0.622181596587447
16	6	0.56703002486135
17	6	0.535603715170279
18	6	0.48920482320352
19	6	0.432893907419081
20	6	0.381770474220486
21	6	0.334894942070862
22	6	0.289632998913943
23	6	0.253747023392632
24	6	0.220829898739346
25	6	0.191379741906775

0	7	1
1	7	1
2	7	1
3	7	1
4	7	0.875
5	7	0.928571428571429
6	7	0.755102040816326
7	7	0.846153846153846
8	7	0.770700636942675
9	7	0.754448398576512
10	7	0.748987854251012
11	7	0.742049469964664
12	7	0.7079945799458
13	7	0.689390883420734
14	7	0.635340186000979
15	7	0.607431094868281
16	7	0.568149073095764
17	7	0.528982369316424
18	7	0.468830958549223
19	7	0.422462380300958
20	7	0.367375019110228
21	7	0.321621998883305
22	7	0.28345672134309
23	7	0.246091064918341
24	7	0.215631364562118
25	7	0.185715363046146

0	8	1
1	8	1
2	8	1
3	8	1
4	8	0.875
5	8	0.892857142857143
6	8	0.816326530612245
7	8	0.824175824175824
8	8	0.745222929936306
9	8	0.788530465949821
10	8	0.744
11	8	0.70852534562212
12	8	0.702389078498293
13	8	0.677497969130788
14	8	0.644570863220381
15	8	0.599632971402355
16	8	0.565052876685748
17	8	0.519337706966573
18	8	0.473826937299696
19	8	0.417481342769807
20	8	0.366731052420203
21	8	0.322327612583795
22	8	0.280426993291017
23	8	0.243112627280715
24	8	0.21203442647277
25	8	0.185667708099351

0	9	1
1	9	1
2	9	1
3	9	0.875
4	9	0.933333333333333
5	9	0.962962962962963
6	9	0.714285714285714
7	9	0.822222222222222
8	9	0.780645161290323
9	9	0.781362007168459
10	9	0.767535070140281
11	9	0.710312862108922
12	9	0.697278911564626
13	9	0.685795685795686
14	9	0.643720700715519
15	9	0.6012475277651
16	9	0.559062649450024
17	9	0.516572550945249
18	9	0.462600875255952
19	9	0.413016439541423
20	9	0.362373213679726
21	9	0.314033500561998
22	9	0.275019517650286
23	9	0.240535307026981
24	9	0.211908709354603
25	9	0.186139826833868

0	10	1
1	10	1
2	10	1
3	10	0.875
4	10	0.933333333333333
5	10	0.925925925925926
6	10	0.8125
7	10	0.791208791208791
8	10	0.785714285714286
9	10	0.779783393501805
10	10	0.7374749498998
11	10	0.708478513356562
12	10	0.710254645560908
13	10	0.674522551808208
14	10	0.63115157480315
15	10	0.604942037827944
16	10	0.558941154065892
17	10	0.515756174717119
18	10	0.457233452239398
19	10	0.405756433897218
20	10	0.357870387643174
21	10	0.315086764205512
22	10	0.276115177316863
23	10	0.241825805843059
24	10	0.210564733572673
25	10	0.185994220012001
