D	K	P
0	3	1
1	3	1
2	3	1
3	3	1
4	3	1
5	3	1
6	3	1
7	3	1
8	3	1
9	3	1
10	3	1
11	3	1
12	3	1
13	3	1
14	3	1
15	3	1
16	3	1
17	3	1
18	3	1
19	3	1
20	3	1
21	3	1
22	3	1
23	3	1
24	3	1
25	3	1
26	3	1
27	3	1
28	3	1

0	4	1
1	4	1
2	4	1
3	4	1
4	4	1
5	4	0.96875
6	4	1
7	4	0.9765625
8	4	0.944223107569721
9	4	0.957303370786517
10	4	0.922343324250681
11	4	0.919354838709677
12	4	0.915560276155072
13	4	0.903558363817759
14	4	0.850707594179789
15	4	0.807678676904903
16	4	0.797743055555556
17	4	0.776732404559435
18	4	0.747010625669533
19	4	0.710745986779981
20	4	0.675876163802892
21	4	0.64088048133442
22	4	0.602780840377312
23	4	0.562322376534935
24	4	0.518050941306755
25	4	0.469056408415346
26	4	0.424760772834461
27	4	0.385396543297641
28	4	0.353303141238914

0	5	1
1	5	1
2	5	1
3	5	1
4	5	1
5	5	0.9375
6	5	1
7	5	0.9921875
8	5	0.936254980079681
9	5	0.948545861297539
10	5	0.920592193808883
11	5	0.888230313293819
12	5	0.889189189189189
13	5	0.88683680322364
14	5	0.810859547184933
15	5	0.780665156752891
16	5	0.769309989701339
17	5	0.749702408204377
18	5	0.700258924155587
19	5	0.660152029268478
20	5	0.616949195234377
21	5	0.57837211299047
22	5	0.537097192172556
23	5	0.49527257834013
24	5	0.449102009980189
25	5	0.397144416831389
26	5	0.350517267080745
27	5	0.311402383407853
28	5	0.27709101748405

0	6	1
1	6	1
2	6	1
3	6	1
4	6	1
5	6	0.875
6	6	1
7	6	0.9609375
8	6	0.924302788844621
9	6	0.947252747252747
10	6	0.893979057591623
11	6	0.885057471264368
12	6	0.871450696954053
13	6	0.849302030456853
14	6	0.788931297709924
15	6	0.769274312238198
16	6	0.752787975341137
17	6	0.705922746781116
18	6	0.65942404804149
19	6	0.617923013806143
20	6	0.574979089496953
21	6	0.538094925059164
22	6	0.498013645643689
23	6	0.460162366765367
24	6	0.414579347777728
25	6	0.367385934660018
26	6	0.324715542384136
27	6	0.285958274640442
28	6	0.254708111261519

0	7	1
1	7	1
2	7	1
3	7	1
4	7	1
5	7	0.875
6	7	1
7	7	0.9765625
8	7	0.936254980079681
9	7	0.938189845474614
10	7	0.885676741130092
11	7	0.884393063583815
12	7	0.864485981308411
13	7	0.838010204081633
14	7	0.781256001536393
15	7	0.759164680512995
16	7	0.742020721785689
17	7	0.694315245478036
18	7	0.648884870403858
19	7	0.606683942453757
20	7	0.566396181384248
21	7	0.526688435284852
22	7	0.488376673405667
23	7	0.44896487447337
24	7	0.402631371373582
25	7	0.35565520434772
26	7	0.313567193387271
27	7	0.276814341964352
28	7	0.245302724286018

0	8	1
1	8	1
2	8	1
3	8	1
4	8	1
5	8	0.9375
6	8	1
7	8	0.984375
8	8	0.908366533864542
9	8	0.9375
10	8	0.890957446808511
11	8	0.852006688963211
12	8	0.877464038359084
13	8	0.859591298615689
14	8	0.771637948108536
15	8	0.768688293370945
16	8	0.747149660845721
17	8	0.712742593339608
18	8	0.661583028031013
19	8	0.6156920526752
20	8	0.564483473594341
21	8	0.523079485364533
22	8	0.486520427684471
23	8	0.447010904153761
24	8	0.401094508813892
25	8	0.352234724384397
26	8	0.309444265732369
27	8	0.273806798210963
28	8	0.243112843970863

0	9	1
1	9	1
2	9	1
3	9	1
4	9	1
5	9	0.90625
6	9	0.984375
7	9	0.9609375
8	9	0.912350597609562
9	9	0.934354485776805
10	9	0.882506527415144
11	9	0.860312243221035
12	9	0.864326872708224
13	9	0.852030947775629
14	9	0.78123178550612
15	9	0.762342135476464
16	9	0.731050485163831
17	9	0.691238012205754
18	9	0.639667820069204
19	9	0.600328383523086
20	9	0.554935472619463
21	9	0.517885414605185
22	9	0.479983441005667
23	9	0.44174901269513
24	9	0.396272930705336
25	9	0.350159099955799
26	9	0.308370388010291
27	9	0.273310096157749
28	9	0.243513899344054

0	10	1
1	10	1
2	10	1
3	10	1
4	10	1
5	10	0.875
6	10	1
7	10	0.9296875
8	10	0.912350597609562
9	10	0.934640522875817
10	10	0.88296488946684
11	10	0.867909238249595
12	10	0.861239119303635
13	10	0.835685167764189
14	10	0.770959214501511
15	10	0.751730296941282
16	10	0.738393162393162
17	10	0.684214956024071
18	10	0.632699457059563
19	10	0.593222707423581
20	10	0.547451556831041
21	10	0.510100564219042
22	10	0.473492699815502
23	10	0.435685887167058
24	10	0.391008606794576
25	10	0.346824291435539
26	10	0.305452450056467
27	10	0.270753393207484
28	10	0.241732838177786
