D	K	P

0	3	1
1	3	1
2	3	1
3	3	1
4	3	1
5	3	1
6	3	1
7	3	1
8	3	1
9	3	1
10	3	1
11	3	1
12	3	1
13	3	1
14	3	1
15	3	1
16	3	1
17	3	1
18	3	1
19	3	1
20	3	1
21	3	1
22	3	1
23	3	1
24	3	1
25	3	1
26	3	1
27	3	1

0	4	1
1	4	1
2	4	1
3	4	1
4	4	1
5	4	1
6	4	0.967213114754098
7	4	0.991666666666667
8	4	0.967136150234742
9	4	0.984732824427481
10	4	0.980122324159021
11	4	0.95004625346901
12	4	0.94090382387022
13	4	0.91162272558485
14	4	0.852551521099117
15	4	0.796122884836537
16	4	0.746106973595125
17	4	0.712375375850609
18	4	0.704054421768707
19	4	0.684005816066885
20	4	0.648610050968902
21	4	0.636365234203357
22	4	0.636930779623301
23	4	0.634501011669971
24	4	0.620506932106476
25	4	0.594174907753477
26	4	0.560025985275011
27	4	0.521138385095249

0	5	1
1	5	1
2	5	1
3	5	1
4	5	0.9375
5	5	1
6	5	0.983606557377049
7	5	0.991666666666667
8	5	0.986111111111111
9	5	0.982367758186398
10	5	0.97289156626506
11	5	0.945205479452055
12	5	0.923650975889782
13	5	0.87758875739645
14	5	0.822942036044812
15	5	0.761176666112681
16	5	0.707127979634344
17	5	0.66483560869214
18	5	0.6403474796658
19	5	0.59485766758494
20	5	0.53569730487225
21	5	0.529741153519626
22	5	0.520099428021596
23	5	0.493998679709536
24	5	0.464035792984337
25	5	0.436437115343654
26	5	0.405973744110952
27	5	0.374937286034707

0	6	1
1	6	1
2	6	1
3	6	1
4	6	0.9375
5	6	1
6	6	0.950819672131147
7	6	0.975
8	6	0.972222222222222
9	6	0.974683544303797
10	6	0.975497702909648
11	6	0.943726937269373
12	6	0.911595866819747
13	6	0.869144981412639
14	6	0.810051736881005
15	6	0.755509994874423
16	6	0.704134212103056
17	6	0.66085141903172
18	6	0.629151501364877
19	6	0.591328934967012
20	6	0.530240032650562
21	6	0.518622383518457
22	6	0.500917728352408
23	6	0.464587251410508
24	6	0.439848483727537
25	6	0.41133199586601
26	6	0.382883659950317
27	6	0.351534634794634

0	7	1
1	7	1
2	7	1
3	7	1
4	7	0.9375
5	7	1
6	7	0.967213114754098
7	7	0.991666666666667
8	7	0.986046511627907
9	7	0.969387755102041
10	7	0.964560862865948
11	7	0.93854748603352
12	7	0.908878504672897
13	7	0.867166979362101
14	7	0.818362282878412
15	7	0.750257820556892
16	7	0.699951468090269
17	7	0.644237288135593
18	7	0.628513591671486
19	7	0.585328422344997
20	7	0.519662848046763
21	7	0.512631499566381
22	7	0.497559555173466
23	7	0.463486001170419
24	7	0.433645607048033
25	7	0.408048011598307
26	7	0.37889460850718
27	7	0.346961903931654

0	8	1
1	8	1
2	8	1
3	8	1
4	8	0.9375
5	8	1
6	8	0.950819672131147
7	8	0.991666666666667
8	8	0.976744186046512
9	8	0.96969696969697
10	8	0.966257668711656
11	8	0.935364727608495
12	8	0.903579676674365
13	8	0.85740809506127
14	8	0.812469317623957
15	8	0.748048863250763
16	8	0.693519513068385
17	8	0.650188205771644
18	8	0.623658981967587
19	8	0.581693398551549
20	8	0.516053330582562
21	8	0.512567740026264
22	8	0.498496342454619
23	8	0.463154318150021
24	8	0.43010784371501
25	8	0.40290462148979
26	8	0.372048084678724
27	8	0.341599344423978

0	9	1
1	9	1
2	9	1
3	9	1
4	9	0.9375
5	9	1
6	9	0.950819672131147
7	9	0.983333333333333
8	9	0.972093023255814
9	9	0.967088607594937
10	9	0.966412213740458
11	9	0.932469935245143
12	9	0.905834777585211
13	9	0.857355126300149
14	9	0.809242871189774
15	9	0.748090307248345
16	9	0.692030724915987
17	9	0.644963454591279
18	9	0.627936289675719
19	9	0.578299098006519
20	9	0.510760844411303
21	9	0.50978076326862
22	9	0.498458000811579
23	9	0.460473127700671
24	9	0.430955192571458
25	9	0.399816680937013
26	9	0.371687373504167
27	9	0.339809285511663

0	10	1
1	10	1
2	10	1
3	10	1
4	10	0.9375
5	10	1
6	10	0.950819672131147
7	10	0.975
8	10	0.976635514018692
9	10	0.969773299748111
10	10	0.961832061068702
11	10	0.933823529411765
12	10	0.905834777585211
13	10	0.850352766431489
14	10	0.809231524674687
15	10	0.748175801798744
16	10	0.694557173549773
17	10	0.644357065171923
18	10	0.624132193470652
19	10	0.58595928344983
20	10	0.516362695640926
21	10	0.512464809601422
22	10	0.501185717189511
23	10	0.460684920571565
24	10	0.430249751719572
25	10	0.401260238057206
26	10	0.37052151447353
27	10	0.338897876421026
