D	K	P
0	3	1
1	3	1
2	3	1
3	3	1
4	3	1
5	3	1
6	3	1
7	3	1
8	3	1
9	3	1
10	3	1
11	3	1
12	3	1
13	3	1
14	3	1
15	3	1
16	3	1
17	3	1
18	3	1
19	3	1
20	3	1
21	3	1
22	3	1
23	3	1
24	3	1
25	3	1

0	4	1
1	4	1
2	4	1
3	4	1
4	4	1
5	4	0.928571428571429
6	4	0.857142857142857
7	4	0.908045977011494
8	4	0.873333333333333
9	4	0.815217391304348
10	4	0.791752577319588
11	4	0.771634615384615
12	4	0.745428973277075
13	4	0.741894736842105
14	4	0.706577595066804
15	4	0.681145584725537
16	4	0.663045664856166
17	4	0.636575422248107
18	4	0.60041751874574
19	4	0.573187651751648
20	4	0.531866880806684
21	4	0.490901683867463
22	4	0.448346321992017
23	4	0.4127228088385
24	4	0.377732277241949
25	4	0.343172788736321

0	5	1
1	5	1
2	5	1
3	5	1
4	5	0.875
5	5	0.821428571428571
6	5	0.775510204081633
7	5	0.865168539325843
8	5	0.8
9	5	0.772241992882562
10	5	0.742971887550201
11	5	0.729508196721312
12	5	0.705922396187883
13	5	0.678947368421053
14	5	0.660143671042854
15	5	0.625594598741752
16	5	0.595771506158472
17	5	0.568153345026309
18	5	0.513184334631946
19	5	0.474363611072472
20	5	0.422011746859077
21	5	0.37598416788872
22	5	0.329548072808663
23	5	0.286745524068184
24	5	0.24902624698233
25	5	0.215816395112737

0	6	1
1	6	1
2	6	1
3	6	0.875
4	6	0.933333333333333
5	6	0.925925925925926
6	6	0.791666666666667
7	6	0.863636363636364
8	6	0.797385620915033
9	6	0.771739130434783
10	6	0.750507099391481
11	6	0.709411764705882
12	6	0.711325966850829
13	6	0.680651731160896
14	6	0.638303150582982
15	6	0.616543665436654
16	6	0.579814921920185
17	6	0.535192069392813
18	6	0.484653847717387
19	6	0.433319587628866
20	6	0.380324212064689
21	6	0.334136138927621
22	6	0.288448873389979
23	6	0.252804036066232
24	6	0.218880403705611
25	6	0.186683782049117

0	7	1
1	7	1
2	7	1
3	7	0.875
4	7	0.933333333333333
5	7	0.925925925925926
6	7	0.770833333333333
7	7	0.844444444444444
8	7	0.767741935483871
9	7	0.756272401433692
10	7	0.764587525150905
11	7	0.716106604866744
12	7	0.701563562202583
13	7	0.679062247372676
14	7	0.646669931439765
15	7	0.603456116416553
16	7	0.566163834256254
17	7	0.529469548133595
18	7	0.472552166934189
19	7	0.416092140481791
20	7	0.363469264003638
21	7	0.321844498669033
22	7	0.27956623431852
23	7	0.240193208430913
24	7	0.21019905101006
25	7	0.181365436914169

0	8	1
1	8	1
2	8	1
3	8	0.875
4	8	0.933333333333333
5	8	0.962962962962963
6	8	0.73469387755102
7	8	0.804347826086957
8	8	0.787096774193548
9	8	0.76978417266187
10	8	0.735470941883767
11	8	0.703233256351039
12	8	0.712141882673943
13	8	0.689347914135277
14	8	0.642682926829268
15	8	0.598732840549102
16	8	0.563285116102017
17	8	0.515386021570898
18	8	0.464680307925492
19	8	0.412035913613201
20	8	0.362355016703577
21	8	0.313896360542351
22	8	0.272795413996601
23	8	0.238968535523162
24	8	0.208348785806471
25	8	0.18282155923612

0	9	1
1	9	1
2	9	1
3	9	0.875
4	9	0.933333333333333
5	9	0.962962962962963
6	9	0.73469387755102
7	9	0.822222222222222
8	9	0.766233766233766
9	9	0.766187050359712
10	9	0.754491017964072
11	9	0.725287356321839
12	9	0.688844086021505
13	9	0.679854662898668
14	9	0.631746031746032
15	9	0.587009063444109
16	9	0.564239420510865
17	9	0.514748902974159
18	9	0.461559955292991
19	9	0.40832078313253
20	9	0.360504043633628
21	9	0.308673644357261
22	9	0.272315106423453
23	9	0.238019774692528
24	9	0.209791823276792
25	9	0.184879828797191

0	10	1
1	10	1
2	10	1
3	10	0.875
4	10	0.933333333333333
5	10	0.925925925925926
6	10	0.73469387755102
7	10	0.804347826086957
8	10	0.772727272727273
9	10	0.758992805755396
10	10	0.746987951807229
11	10	0.714452214452214
12	10	0.694368131868132
13	10	0.669938650306748
14	10	0.639821029082774
15	10	0.582899969409605
16	10	0.557759287925697
17	10	0.516891681702234
18	10	0.468882027949301
19	10	0.407950870900247
20	10	0.359442202391103
21	10	0.313043358264565
22	10	0.275757768721345
23	10	0.240432583590824
24	10	0.211927542824756
25	10	0.185315885591882
