D	K	P
0	3	1
1	3	1
2	3	1
3	3	1
4	3	1
5	3	1
6	3	1
7	3	1
8	3	1
9	3	1
10	3	1
11	3	1
12	3	1
13	3	1
14	3	1
15	3	1
16	3	1
17	3	1
18	3	1
19	3	1
20	3	1
21	3	1
22	3	1
23	3	1
24	3	1
25	3	1
26	3	1
27	3	1
28	3	1

0	4	1
1	4	1
2	4	1
3	4	1
4	4	1
5	4	1
6	4	1
7	4	1
8	4	0.9800796812749
9	4	0.954648526077097
10	4	0.931972789115646
11	4	0.956147893379192
12	4	0.939247311827957
13	4	0.933108108108108
14	4	0.880355699272433
15	4	0.842143027983736
16	4	0.80461349338347
17	4	0.792478173270651
18	4	0.755301655704241
19	4	0.721506713987779
20	4	0.703905518323461
21	4	0.676681032331065
22	4	0.643168596109773
23	4	0.605096661562284
24	4	0.569570723100612
25	4	0.532104680030366
26	4	0.500211279597539
27	4	0.468895171052655
28	4	0.432564969110145

0	5	1
1	5	1
2	5	1
3	5	0.75
4	5	1
5	5	1
6	5	1
7	5	0.9921875
8	5	0.964143426294821
9	5	0.934090909090909
10	5	0.920948616600791
11	5	0.930807248764415
12	5	0.894790602655771
13	5	0.86984126984127
14	5	0.799191374663073
15	5	0.769143117593437
16	5	0.770548190612684
17	5	0.734368688002154
18	5	0.687368329918329
19	5	0.645602260015547
20	5	0.620142413453526
21	5	0.581059390048154
22	5	0.539738222096746
23	5	0.499567162957763
24	5	0.451495403049762
25	5	0.404537392377825
26	5	0.359485797543453
27	5	0.31919845193476
28	5	0.283893589535671

0	6	1
1	6	1
2	6	1
3	6	1
4	6	1
5	6	1
6	6	1
7	6	0.9921875
8	6	0.944223107569721
9	6	0.913636363636364
10	6	0.903137789904502
11	6	0.894645941278066
12	6	0.882480957562568
13	6	0.866553480475382
14	6	0.791691995947315
15	6	0.767081872052243
16	6	0.763405526512323
17	6	0.742105508652456
18	6	0.692843949234344
19	6	0.63519487288381
20	6	0.59354524979525
21	6	0.553130624559817
22	6	0.512031090152969
23	6	0.468848708583016
24	6	0.420662089540821
25	6	0.370503946098286
26	6	0.32427737231882
27	6	0.285358650123126
28	6	0.25098893515406

0	7	1
1	7	1
2	7	1
3	7	1
4	7	1
5	7	0.90625
6	7	1
7	7	1
8	7	0.916334661354582
9	7	0.926503340757238
10	7	0.890066225165563
11	7	0.869674185463659
12	7	0.86451276706618
13	7	0.839793281653747
14	7	0.783736349453978
15	7	0.762830210636565
16	7	0.748406502900523
17	7	0.713465646137415
18	7	0.660991983684106
19	7	0.609190097291709
20	7	0.567923994936273
21	7	0.530364440557677
22	7	0.490746325138066
23	7	0.450999052585758
24	7	0.405458169982284
25	7	0.355309583981337
26	7	0.313251242569704
27	7	0.275215016736871
28	7	0.243574141528647

0	8	1
1	8	1
2	8	1
3	8	1
4	8	1
5	8	0.96875
6	8	1
7	8	0.9921875
8	8	0.908366533864542
9	8	0.934684684684685
10	8	0.899463806970509
11	8	0.858952702702703
12	8	0.871398078975454
13	8	0.85514950166113
14	8	0.780424339471577
15	8	0.764593301435407
16	8	0.746624363609533
17	8	0.71770838096109
18	8	0.66594758475935
19	8	0.613480809226697
20	8	0.569442701929591
21	8	0.528365125644468
22	8	0.489725431879643
23	8	0.450458881777563
24	8	0.402287917573684
25	8	0.353569676242924
26	8	0.309478082080392
27	8	0.273552383992608
28	8	0.24288024693253

0	9	1
1	9	1
2	9	1
3	9	1
4	9	1
5	9	1
6	9	1
7	9	0.984375
8	9	0.904382470119522
9	9	0.914414414414414
10	9	0.893243243243243
11	9	0.852417302798982
12	9	0.876272094268881
13	9	0.869272237196765
14	9	0.777980535279805
15	9	0.770066385033192
16	9	0.743727198272653
17	9	0.724431421794335
18	9	0.670199887803006
19	9	0.615361071257771
20	9	0.569536256110225
21	9	0.52754286500856
22	9	0.488719048734911
23	9	0.44806050634438
24	9	0.399403173108431
25	9	0.351206832348023
26	9	0.307534516460508
27	9	0.271612700408677
28	9	0.241839411768821

0	10	1
1	10	1
2	10	1
3	10	1
4	10	1
5	10	0.90625
6	10	1
7	10	0.96875
8	10	0.908366533864542
9	10	0.909492273730684
10	10	0.877952755905512
11	10	0.856905158069884
12	10	0.871354166666667
13	10	0.829868883914295
14	10	0.772326561901111
15	10	0.747745691131149
16	10	0.726624737945493
17	10	0.694480660582355
18	10	0.642811801396517
19	10	0.596879600703795
20	10	0.554591044776119
21	10	0.513367232471116
22	10	0.475769906593915
23	10	0.43756633066123
24	10	0.393547962423714
25	10	0.347285977145071
26	10	0.306234252783701
27	10	0.271027992192424
28	10	0.241844333453594
