D	K	P
0	3	1
1	3	1
2	3	1
3	3	1
4	3	1
5	3	1
6	3	1
7	3	1
8	3	1
9	3	1
10	3	1
11	3	1
12	3	1
13	3	1
14	3	1
15	3	1
16	3	1
17	3	1
18	3	1
19	3	1
20	3	1
21	3	1
22	3	1
23	3	1
24	3	1
25	3	1
26	3	1
27	3	1

0	4	1
1	4	1
2	4	1
3	4	1
4	4	1
5	4	1
6	4	1
7	4	0.991666666666667
8	4	0.990654205607477
9	4	0.987309644670051
10	4	0.941441441441441
11	4	0.959165154264973
12	4	0.935014005602241
13	4	0.933453887884268
14	4	0.932516810758886
15	4	0.903057905009759
16	4	0.859154929577465
17	4	0.824809246808189
18	4	0.781055106839791
19	4	0.749090167001122
20	4	0.723727026903158
21	4	0.704548693022593
22	4	0.6733468523071
23	4	0.657344137644897
24	4	0.651195628015218
25	4	0.637041337909154
26	4	0.606769283102305
27	4	0.561818513119534

0	5	1
1	5	1
2	5	1
3	5	1
4	5	1
5	5	1
6	5	0.967213114754098
7	5	0.991666666666667
8	5	0.981566820276498
9	5	0.972292191435768
10	5	0.93037037037037
11	5	0.926851025869759
12	5	0.907142857142857
13	5	0.90724946695096
14	5	0.887716830754805
15	5	0.858888888888889
16	5	0.799828455023051
17	5	0.756928238039673
18	5	0.708306724959473
19	5	0.670076893001434
20	5	0.632588207126222
21	5	0.608230892570818
22	5	0.568586321541317
23	5	0.547202904322784
24	5	0.529783247357098
25	5	0.510339015134443
26	5	0.480402553914768
27	5	0.443348900522924

0	6	1
1	6	1
2	6	1
3	6	1
4	6	0.875
5	6	0.96875
6	6	0.950819672131147
7	6	0.966942148760331
8	6	0.958904109589041
9	6	0.957393483709273
10	6	0.909620991253644
11	6	0.900086880973067
12	6	0.893810032017076
13	6	0.877054794520548
14	6	0.864907532701849
15	6	0.829666972196761
16	6	0.76302780638517
17	6	0.718441849080355
18	6	0.668818109536504
19	6	0.62488038277512
20	6	0.586296759895758
21	6	0.551022122654719
22	6	0.511290796824463
23	6	0.483101617168502
24	6	0.463739403853917
25	6	0.440555674324524
26	6	0.415012408997928
27	6	0.382845171005938

0	7	1
1	7	1
2	7	1
3	7	1
4	7	0.9375
5	7	1
6	7	0.950819672131147
7	7	0.983333333333333
8	7	0.953703703703704
9	7	0.942786069651741
10	7	0.912482065997131
11	7	0.894288150042626
12	7	0.866874674986999
13	7	0.851565129585998
14	7	0.839937666963491
15	7	0.799636253410124
16	7	0.740497226217382
17	7	0.692108938547486
18	7	0.64124214279013
19	7	0.599281333250728
20	7	0.549895109209823
21	7	0.518373544324957
22	7	0.47403351263496
23	7	0.442166788435445
24	7	0.424572910704433
25	7	0.402350570852921
26	7	0.375816829509965
27	7	0.343829939430695

0	8	1
1	8	1
2	8	1
3	8	1
4	8	0.875
5	8	0.96875
6	8	0.967213114754098
7	8	0.991735537190083
8	8	0.932126696832579
9	8	0.95343137254902
10	8	0.891428571428571
11	8	0.871379897785349
12	8	0.865904365904366
13	8	0.848767488341106
14	8	0.819420035149385
15	8	0.783572167232974
16	8	0.719755437506264
17	8	0.669236542266494
18	8	0.618475180546668
19	8	0.570554172042365
20	8	0.524908337318667
21	8	0.488880811996877
22	8	0.445441768949686
23	8	0.415604280092717
24	8	0.393759257135163
25	8	0.372356317020936
26	8	0.34604628969716
27	8	0.316773039958278

0	9	1
1	9	1
2	9	1
3	9	1
4	9	0.875
5	9	1
6	9	0.950819672131147
7	9	0.975206611570248
8	9	0.936363636363636
9	9	0.916666666666667
10	9	0.907380607814761
11	9	0.868712702472293
12	9	0.853092783505155
13	9	0.84247258225324
14	9	0.812527569475077
15	9	0.767143489160891
16	9	0.705489688153831
17	9	0.65884099035283
18	9	0.602516687714234
19	9	0.552354306803976
20	9	0.510927721071647
21	9	0.468024456195969
22	9	0.423565083150762
23	9	0.393031901897209
24	9	0.369229870566073
25	9	0.348673903623293
26	9	0.325608370073656
27	9	0.297540792792533

0	10	1
1	10	1
2	10	1
3	10	1
4	10	0.9375
5	10	1
6	10	0.950819672131147
7	10	0.983333333333333
8	10	0.940639269406393
9	10	0.925558312655087
10	10	0.887142857142857
11	10	0.852195945945946
12	10	0.84354091610911
13	10	0.827075098814229
14	10	0.800915830789359
15	10	0.749157509157509
16	10	0.694513591556308
17	10	0.645652762730228
18	10	0.593004841409891
19	10	0.538241430700447
20	10	0.493399535012019
21	10	0.45175718001805
22	10	0.407822922983626
23	10	0.377677483591201
24	10	0.352934377438091
25	10	0.33204965351627
26	10	0.307960233432519
27	10	0.281582014007416
