D	K	P
0	3	0
1	3	0.0183055406350087
2	3	0.247085966644912
3	3	0.287578977875114
4	3	0.481141291264383
5	3	0.508526526937402
6	3	0.601299573506008
7	3	0.618102816573072
8	3	0.722733263510058
9	3	0.752733548693738
10	3	0.783231660738234
11	3	0.802248982841633
12	3	0.827659344622947
13	3	0.836531879192369
14	3	0.870742809527327
15	3	0.877908152798894
16	3	0.894224075409812
17	3	0.897306784912893
18	3	0.911263263893284
19	3	0.916606987090264
20	3	0.933310829513663
21	3	0.940208905456285
22	3	0.946834733727054
23	3	0.949814208779838
24	3	0.95824136221772
25	3	0.961356476968321
26	3	0.962457738429827
27	3	0.963262355305015
28	3	0.964897079433252
29	3	0.971424859405969
30	3	0.971877307738491
31	3	0.972483139936945
32	3	0.973577760401059
33	3	0.979072225568902
34	3	0.980671378713063
35	3	0.98121659114836
36	3	0.981661708130907
37	3	0.981877549864264
38	3	0.98273991124892
39	3	0.98292177296921
40	3	0.98363674164639
41	3	0.983994351172157
42	3	0.985144274388095
43	3	0.985541818623102
44	3	0.985710006986757
45	3	0.985712577577804
46	3	0.986170154128053
47	3	0.986901763381542
48	3	0.987283849228526
49	3	0.987518654995979
50	3	0.98805738524739
51	3	0.988939692311863
52	3	0.989244575348763
53	3	0.990045382320372
54	3	0.990179031177464
55	3	0.990395461169009
56	3	0.990957660977453
57	3	0.991186048572586
58	3	0.992403663614301
59	3	0.992764336782227
60	3	0.992764336782227
61	3	0.993360471633587
62	3	0.99452358204237
63	3	0.994795025518284
64	3	0.994795025518284
65	3	0.995579616901766
66	3	0.995934470283971
67	3	0.996049588603014
68	3	0.996049588603014
69	3	0.996237665927378
70	3	0.997002579831401
71	3	0.99760002246336
72	3	0.997852370640955
73	3	0.998018197463993
74	3	0.998018197463993
75	3	0.998018197463993
76	3	0.998018197463993
77	3	0.998018197463993
78	3	0.998357588406811
79	3	0.998357588406811
80	3	0.998587025305461
81	3	0.998587025305461
82	3	0.99913281627567
83	3	0.999542889356718
84	3	1

0	4	0
1	4	0.0455742102559747
2	4	0.291655382991557
3	4	0.345978975333588
4	4	0.543120296581821
5	4	0.606405934601914
6	4	0.672751244638275
7	4	0.695581216980222
8	4	0.78268916347596
9	4	0.808564906056293
10	4	0.838066789577341
11	4	0.854505372169291
12	4	0.871912779145894
13	4	0.893509885736911
14	4	0.906905032176627
15	4	0.914188875590621
16	4	0.927214590040156
17	4	0.931006765510047
18	4	0.943078463934383
19	4	0.946364769985317
20	4	0.958923361568801
21	4	0.965152716900107
22	4	0.971911844220742
23	4	0.973730414326741
24	4	0.979176458399433
25	4	0.98069058127351
26	4	0.981566430968314
27	4	0.982379687297703
28	4	0.98276786735347
29	4	0.985109416282334
30	4	0.985359490303609
31	4	0.985800896403592
32	4	0.986642286705721
33	4	0.987105015026024
34	4	0.987959058233131
35	4	0.988376269033954
36	4	0.988647400941971
37	4	0.989284574968531
38	4	0.989554211739743
39	4	0.98992696700189
40	4	0.990376540596437
41	4	0.990579366023057
42	4	0.991451762860488
43	4	0.991774971064908
44	4	0.991810749027818
45	4	0.992013684421337
46	4	0.992231008957775
47	4	0.993080113979958
48	4	0.993109801945025
49	4	0.993377197043582
50	4	0.993444932523147
51	4	0.993770346260865
52	4	0.993824495407501
53	4	0.993824495407501
54	4	0.99412834788887
55	4	0.994252207789039
56	4	0.994252207789039
57	4	0.994424448478275
58	4	0.994534373042588
59	4	0.994534373042588
60	4	0.994534373042588
61	4	0.995251119220511
62	4	0.995251119220511
63	4	0.995597645054005
64	4	0.995597645054005
65	4	0.996694722335746
66	4	0.997462483345545
67	4	0.997462483345545
68	4	0.997598276461223
69	4	0.998225242668409
70	4	0.998225242668409
71	4	0.998225242668409
72	4	0.998365752486383
73	4	0.998581404286892
74	4	0.998581404286892
75	4	0.998764321058307
76	4	0.998764321058307
77	4	0.998764321058307
78	4	0.999156868813443
79	4	0.999156868813443
80	4	0.999450320388018
81	4	0.999450320388018
82	4	0.999450320388018
83	4	0.999450320388018
84	4	1

0	5	0
1	5	0.0962195155847093
2	5	0.331699597873597
3	5	0.413394009724968
4	5	0.600728105682419
5	5	0.656295054097905
6	5	0.7222538648251
7	5	0.745335868646361
8	5	0.825628769256679
9	5	0.852830050267316
10	5	0.871839163325642
11	5	0.888871652812151
12	5	0.906871713564949
13	5	0.916090048543839
14	5	0.926637422218716
15	5	0.931389933974018
16	5	0.942118090738852
17	5	0.945760237821643
18	5	0.95453121290946
19	5	0.959138140077755
20	5	0.974078904883051
21	5	0.977579589902884
22	5	0.980134808832638
23	5	0.980847435597271
24	5	0.98543617963857
25	5	0.986540293303475
26	5	0.986857782384273
27	5	0.987103591896132
28	5	0.987545842950764
29	5	0.988079001906922
30	5	0.9886876363665
31	5	0.989208381944688
32	5	0.98947239480949
33	5	0.989887611505479
34	5	0.990294881188658
35	5	0.990334815537777
36	5	0.990843909780321
37	5	0.990959575431611
38	5	0.991132755944751
39	5	0.991219154054817
40	5	0.991346268187395
41	5	0.991413926362023
42	5	0.991638166685287
43	5	0.991951699213783
44	5	0.992571072461835
45	5	0.992583466803619
46	5	0.992827448841614
47	5	0.993360354973425
48	5	0.993685245561325
49	5	0.993685245561325
50	5	0.993685245561325
51	5	0.993697381129953
52	5	0.994038952175909
53	5	0.994038952175909
54	5	0.99426262855216
55	5	0.994540080964338
56	5	0.994540080964338
57	5	0.994597792731737
58	5	0.994597792731737
59	5	0.994597792731737
60	5	0.994597792731737
61	5	0.994597792731737
62	5	0.994597792731737
63	5	0.994759020899539
64	5	0.994759020899539
65	5	0.994901007052495
66	5	0.995891355115433
67	5	0.996525759217042
68	5	0.997253003393064
69	5	0.997253003393064
70	5	0.997253003393064
71	5	0.9974827701591
72	5	0.997939310250912
73	5	0.998130733379128
74	5	0.998130733379128
75	5	0.998332041046969
76	5	0.999024220568224
77	5	0.999024220568224
78	5	0.999024220568224
79	5	0.999024220568224
80	5	0.999330845935576
81	5	0.999330845935576
82	5	0.999656941752006
83	5	1
84	5	1

0	6	0
1	6	0.169103449659854
2	6	0.398241160452603
3	6	0.459539457611306
4	6	0.631214119404196
5	6	0.683890920904333
6	6	0.735788993304569
7	6	0.760457490350696
8	6	0.829428091922058
9	6	0.851071796204234
10	6	0.868661509918795
11	6	0.881647523148623
12	6	0.904352815434655
13	6	0.914936430278597
14	6	0.944178450626598
15	6	0.949160233758724
16	6	0.960588638064328
17	6	0.962574879736758
18	6	0.970485091288302
19	6	0.971344652341613
20	6	0.97992735560065
21	6	0.981371370943227
22	6	0.984116651244298
23	6	0.984275677473703
24	6	0.988839168031588
25	6	0.989201714101069
26	6	0.989462176671491
27	6	0.989566709442438
28	6	0.989902171768426
29	6	0.990194179405663
30	6	0.990334640213973
31	6	0.990488145264185
32	6	0.99073653911467
33	6	0.991514501433969
34	6	0.991837902217373
35	6	0.99196252200836
36	6	0.992225600724138
37	6	0.99224011811785
38	6	0.992265846537754
39	6	0.992298223579465
40	6	0.992478159832113
41	6	0.99262392231222
42	6	0.993026431886079
43	6	0.993245402175824
44	6	0.993485360243476
45	6	0.993545246286876
46	6	0.993935740970948
47	6	0.994424849501767
48	6	0.994451951188644
49	6	0.994490138896139
50	6	0.994717332040563
51	6	0.994988327377269
52	6	0.994988327377269
53	6	0.995071508119618
54	6	0.995542801860898
55	6	0.99579376699828
56	6	0.996498755370043
57	6	0.996498755370043
58	6	0.996610007938219
59	6	0.997135032544145
60	6	0.997135032544145
61	6	0.997135032544145
62	6	0.997135032544145
63	6	0.997401739412126
64	6	0.99758387193495
65	6	0.998720372968017
66	6	0.999116232723843
67	6	0.999237375087051
68	6	0.999237375087051
69	6	0.999237375087051
70	6	0.999237375087051
71	6	0.999237375087051
72	6	0.999387453549073
73	6	0.999387453549073
74	6	0.999387453549073
75	6	0.999387453549073
76	6	0.999387453549073
77	6	0.999387453549073
78	6	0.999387453549073
79	6	0.999387453549073
80	6	0.99960047740143
81	6	0.99960047740143
82	6	1
83	6	1
84	6	1

0	7	0
1	7	0.15992969501943
2	7	0.403870307735858
3	7	0.485016687061405
4	7	0.677699675114676
5	7	0.712406119405683
6	7	0.774271852163628
7	7	0.797580871582471
8	7	0.878491331635846
9	7	0.895391037217806
10	7	0.912153405543722
11	7	0.922469279862388
12	7	0.935016556539663
13	7	0.942260664228599
14	7	0.955195982674168
15	7	0.959283990748557
16	7	0.966741171161566
17	7	0.968139617598812
18	7	0.974396171361488
19	7	0.976033219512921
20	7	0.980592420164384
21	7	0.981952254676965
22	7	0.98638549730321
23	7	0.986578705834576
24	7	0.989651714762838
25	7	0.989898968523515
26	7	0.990002175078067
27	7	0.990117562030647
28	7	0.990444284446834
29	7	0.990446555119668
30	7	0.990878849840675
31	7	0.991115812168226
32	7	0.991161315109556
33	7	0.99116417582176
34	7	0.991246750573145
35	7	0.991720190752793
36	7	0.991934316319628
37	7	0.992178161274658
38	7	0.992368531464981
39	7	0.993078181042795
40	7	0.993078600502062
41	7	0.993439984235714
42	7	0.993794121111422
43	7	0.994048379142767
44	7	0.994048379142767
45	7	0.994403336061343
46	7	0.994964566968366
47	7	0.995233868207238
48	7	0.995699770004751
49	7	0.995930859902558
50	7	0.996310051080309
51	7	0.996310051080309
52	7	0.996421073559211
53	7	0.996421073559211
54	7	0.996421073559211
55	7	0.996724216771779
56	7	0.996724216771779
57	7	0.99692784327315
58	7	0.99692784327315
59	7	0.99692784327315
60	7	0.99692784327315
61	7	0.99692784327315
62	7	0.99692784327315
63	7	0.99692784327315
64	7	0.997834591167936
65	7	0.997984775063143
66	7	0.998219353463857
67	7	0.998660114271079
68	7	0.998660114271079
69	7	0.999047705120661
70	7	0.999255833818169
71	7	0.999432637297586
72	7	0.999568542100231
73	7	0.999791204362257
74	7	1
75	7	1
76	7	1
77	7	1
78	7	1
79	7	1
80	7	1
81	7	1
82	7	1
83	7	1
84	7	1

0	8	0
1	8	0.202902547183906
2	8	0.422819573418056
3	8	0.498992714774772
4	8	0.68417188475703
5	8	0.721631412854468
6	8	0.779910439756835
7	8	0.798120188409616
8	8	0.868489744112963
9	8	0.883194746311783
10	8	0.907549434271278
11	8	0.919389069522508
12	8	0.929206570052652
13	8	0.93520260626801
14	8	0.945255664154759
15	8	0.947965401024799
16	8	0.955432482562921
17	8	0.958804596218292
18	8	0.962041678061536
19	8	0.962967169143847
20	8	0.970395551315231
21	8	0.971408969949412
22	8	0.973507043163894
23	8	0.973760339733328
24	8	0.97851286233746
25	8	0.985638026023396
26	8	0.992497989545864
27	8	0.992771288800403
28	8	0.992859923436975
29	8	0.993159953698197
30	8	0.99330725967283
31	8	0.993579857851884
32	8	0.993738971273055
33	8	0.993872694410946
34	8	0.994160503924939
35	8	0.994352832299487
36	8	0.994701030452632
37	8	0.994702636249337
38	8	0.99542825738796
39	8	0.995560358036873
40	8	0.995778532727612
41	8	0.995778532727612
42	8	0.995782991567692
43	8	0.995782991567692
44	8	0.995943603287327
45	8	0.995943603287327
46	8	0.995943603287327
47	8	0.996410873436121
48	8	0.996467087671531
49	8	0.996467087671531
50	8	0.996707322870845
51	8	0.996732691788016
52	8	0.996732691788016
53	8	0.996924740400061
54	8	0.996924884621303
55	8	0.997094030766501
56	8	0.997094030766501
57	8	0.997094030766501
58	8	0.997094030766501
59	8	0.997094030766501
60	8	0.99731508988209
61	8	0.99731508988209
62	8	0.99731508988209
63	8	0.997678821864896
64	8	0.997955897579378
65	8	0.998273671727264
66	8	0.998997173614852
67	8	0.99920389540294
68	8	0.99920389540294
69	8	0.999477969846658
70	8	0.999723720173116
71	8	0.999723720173116
72	8	1
73	8	1
74	8	1
75	8	1
76	8	1
77	8	1
78	8	1
79	8	1
80	8	1
81	8	1
82	8	1
83	8	1
84	8	1

0	9	0
1	9	0.218460905174749
2	9	0.441950569177469
3	9	0.52159087757991
4	9	0.719436748007606
5	9	0.754712589604743
6	9	0.816852429840684
7	9	0.838355432333743
8	9	0.90589414658948
9	9	0.917401526646622
10	9	0.930515319486624
11	9	0.936530375469432
12	9	0.948932544308065
13	9	0.953842795189861
14	9	0.966359013006571
15	9	0.97162731435571
16	9	0.977534762251831
17	9	0.9784014512703
18	9	0.981651799717278
19	9	0.983018999820443
20	9	0.989199625444955
21	9	0.989484388585705
22	9	0.991421561226484
23	9	0.99150651516824
24	9	0.991787100316963
25	9	0.99196267443149
26	9	0.992086286656537
27	9	0.992425635327787
28	9	0.992608978322913
29	9	0.992804558508651
30	9	0.9928891315877
31	9	0.993131013899382
32	9	0.993221800070805
33	9	0.99344689424184
34	9	0.993954776816423
35	9	0.994064889255056
36	9	0.994309489345521
37	9	0.994348282008673
38	9	0.994427527321488
39	9	0.994427527321488
40	9	0.994517238454027
41	9	0.994535829584353
42	9	0.994617410376028
43	9	0.994766472853157
44	9	0.994773587081066
45	9	0.994773587081066
46	9	0.994990665888657
47	9	0.994990665888657
48	9	0.995209490915825
49	9	0.995339176104514
50	9	0.996065007003433
51	9	0.996338042447266
52	9	0.996430863719037
53	9	0.99645428677547
54	9	0.99645428677547
55	9	0.996815333841842
56	9	0.996815333841842
57	9	0.996815333841842
58	9	0.996980508967272
59	9	0.996980508967272
60	9	0.99769529484771
61	9	0.997784455525847
62	9	0.997784455525847
63	9	0.997898587143944
64	9	0.998657852039599
65	9	0.999167173269159
66	9	0.999167173269159
67	9	0.999503478631804
68	9	1
69	9	1
70	9	1
71	9	1
72	9	1
73	9	1
74	9	1
75	9	1
76	9	1
77	9	1
78	9	1
79	9	1
80	9	1
81	9	1
82	9	1
83	9	1
84	9	1

0	10	0
1	10	0.228996159686322
2	10	0.439390238295993
3	10	0.531973536059722
4	10	0.708726098906045
5	10	0.744719429811154
6	10	0.812996653678491
7	10	0.832260382333557
8	10	0.902625295770489
9	10	0.918160876832489
10	10	0.930380425665073
11	10	0.936169019682105
12	10	0.945554648686918
13	10	0.954157651998328
14	10	0.962697855418712
15	10	0.966423200692116
16	10	0.974487548321574
17	10	0.975653494618228
18	10	0.977959927149812
19	10	0.978944282823779
20	10	0.986224326608604
21	10	0.986656958624818
22	10	0.988963780024548
23	10	0.989117264893297
24	10	0.990278462214864
25	10	0.990379845696008
26	10	0.990696944522854
27	10	0.990704485787274
28	10	0.990868523333888
29	10	0.990944912777831
30	10	0.991191589435035
31	10	0.991264349442941
32	10	0.99160603492131
33	10	0.991676869106013
34	10	0.99222409300378
35	10	0.992652009993714
36	10	0.993011490819184
37	10	0.993135045957209
38	10	0.993437182619167
39	10	0.99360138913825
40	10	0.993930383935509
41	10	0.994145211211296
42	10	0.994519075528817
43	10	0.994534370237696
44	10	0.994828434799351
45	10	0.994842253506713
46	10	0.995192168484396
47	10	0.995423058175027
48	10	0.995426317260448
49	10	0.995441213070851
50	10	0.995445726718984
51	10	0.995445726718984
52	10	0.995805976021983
53	10	0.996355044728756
54	10	0.997163918250509
55	10	0.997256004388062
56	10	0.997864323792457
57	10	0.997864323792457
58	10	0.997864323792457
59	10	0.997941711639937
60	10	0.998399418707549
61	10	0.998618649297848
62	10	0.998618649297848
63	10	0.998859455897788
64	10	0.999084530312183
65	10	0.999262368048628
66	10	0.999377301732937
67	10	0.999377301732937
68	10	0.999377301732937
69	10	0.999377301732937
