D	K	P
0	3	1
1	3	1
2	3	1
3	3	1
4	3	1
5	3	1
6	3	1
7	3	1
8	3	1
9	3	1
10	3	1
11	3	1
12	3	1
13	3	1
14	3	1
15	3	1
16	3	1
17	3	1
18	3	1
19	3	1
20	3	1
21	3	1
22	3	1
23	3	1
24	3	1
25	3	1

0	4	1
1	4	1
2	4	1
3	4	1
4	4	0.9375
5	4	0.964285714285714
6	4	0.980769230769231
7	4	0.978494623655914
8	4	0.944099378881988
9	4	0.96113074204947
10	4	0.961847389558233
11	4	0.928654970760234
12	4	0.929993136582018
13	4	0.929502852485738
14	4	0.91761435430882
15	4	0.89935218833939
16	4	0.880127439267224
17	4	0.853252264234594
18	4	0.815341724406543
19	4	0.771877724498692
20	4	0.713303832030882
21	4	0.656412100756643
22	4	0.600639220759455
23	4	0.550043926573265
24	4	0.503524545185936
25	4	0.45827458656095

0	5	1
1	5	1
2	5	1
3	5	0.875
4	5	0.933333333333333
5	5	1
6	5	0.901960784313726
7	5	0.934065934065934
8	5	0.9125
9	5	0.93006993006993
10	5	0.920477137176938
11	5	0.910360884749709
12	5	0.886211512717537
13	5	0.893608574831282
14	5	0.857911469797016
15	5	0.846399270738377
16	5	0.801098692934268
17	5	0.765644839470343
18	5	0.714946312406928
19	5	0.653012423974632
20	5	0.591822455057591
21	5	0.528328981723238
22	5	0.471694116935118
23	5	0.420089126411791
24	5	0.37872879061702
25	5	0.338277604173836

0	6	1
1	6	1
2	6	1
3	6	1
4	6	0.875
5	6	0.964285714285714
6	6	0.918367346938776
7	6	0.923076923076923
8	6	0.894409937888199
9	6	0.876325088339223
10	6	0.86317907444668
11	6	0.87603305785124
12	6	0.865437158469945
13	6	0.849186991869919
14	6	0.824987605354487
15	6	0.794698942852765
16	6	0.766998659260678
17	6	0.704029304029304
18	6	0.653843109316869
19	6	0.592909439210644
20	6	0.527651385716598
21	6	0.47054029931832
22	6	0.415394109177107
23	6	0.364999210983115
24	6	0.321648645900417
25	6	0.281366478952117

0	7	1
1	7	1
2	7	1
3	7	1
4	7	0.875
5	7	0.964285714285714
6	7	0.94
7	7	0.934065934065934
8	7	0.861635220125786
9	7	0.859205776173285
10	7	0.847107438016529
11	7	0.839759036144578
12	7	0.833804809052334
13	7	0.82999164578112
14	7	0.809171974522293
15	7	0.770672546857773
16	7	0.729916214884179
17	7	0.682259986204302
18	7	0.611669615570211
19	7	0.54946707471507
20	7	0.488079244809859
21	7	0.429182800081516
22	7	0.37273699488198
23	7	0.323004837910937
24	7	0.282326120606465
25	7	0.250665788746553

0	8	1
1	8	1
2	8	1
3	8	0.875
4	8	0.875
5	8	1
6	8	0.862745098039216
7	8	0.877777777777778
8	8	0.879746835443038
9	8	0.855595667870036
10	8	0.875255623721881
11	8	0.83625730994152
12	8	0.797033041132839
13	8	0.806179775280899
14	8	0.778650306748466
15	8	0.735740291262136
16	8	0.695836473247928
17	8	0.633832335329341
18	8	0.573463181800685
19	8	0.506329435044014
20	8	0.447695356250538
21	8	0.38880953553662
22	8	0.339616325240145
23	8	0.296229695789802
24	8	0.256040202781618
25	8	0.224481405985029

0	9	1
1	9	1
2	9	1
3	9	0.875
4	9	0.933333333333333
5	9	1
6	9	0.843137254901961
7	9	0.893617021276596
8	9	0.858895705521472
9	9	0.812286689419795
10	9	0.831067961165049
11	9	0.8165548098434
12	9	0.797166773985834
13	9	0.797024036627242
14	9	0.758117647058824
15	9	0.711179217746643
16	9	0.658207196592042
17	9	0.599436230800207
18	9	0.542321734595038
19	9	0.473742576209369
20	9	0.413896209203325
21	9	0.362105722176462
22	9	0.313432562734999
23	9	0.271478466731941
24	9	0.239395858950951
25	9	0.209180607735117

0	10	1
1	10	1
2	10	1
3	10	1
4	10	0.875
5	10	0.928571428571429
6	10	0.846153846153846
7	10	0.880434782608696
8	10	0.860759493670886
9	10	0.827338129496403
10	10	0.815573770491803
11	10	0.807372175980975
12	10	0.770559778852799
13	10	0.771158586688579
14	10	0.736591478696742
15	10	0.710171853228054
16	10	0.653163098780839
17	10	0.590389294403893
18	10	0.524805504515423
19	10	0.46512948952981
20	10	0.403120776508171
21	10	0.348932235370562
22	10	0.30077684208563
23	10	0.261501870342553
24	10	0.224866220942447
25	10	0.197746646401903
