D	K	P
0	3	1
1	3	1
2	3	1
3	3	1
4	3	1
5	3	1
6	3	1
7	3	1
8	3	1
9	3	1
10	3	1
11	3	1
12	3	1
13	3	1
14	3	1
15	3	1
16	3	1
17	3	1
18	3	1
19	3	1
20	3	1
21	3	1
22	3	1
23	3	1
24	3	1
25	3	1
26	3	1
27	3	1
28	3	1

0	4	1
1	4	1
2	4	1
3	4	1
4	4	1
5	4	1
6	4	1
7	4	0.9921875
8	4	0.968127490039841
9	4	0.981941309255079
10	4	0.940540540540541
11	4	0.948760330578512
12	4	0.944444444444444
13	4	0.95606210769739
14	4	0.93682742128338
15	4	0.909808473592571
16	4	0.871998902455755
17	4	0.848777878363921
18	4	0.819469753355748
19	4	0.794307827151102
20	4	0.764730980460801
21	4	0.744826912087582
22	4	0.725133461456331
23	4	0.70423051571964
24	4	0.673876944845611
25	4	0.628922206810629
26	4	0.580318881158688
27	4	0.533291380477606
28	4	0.490067838308549

0	5	1
1	5	1
2	5	1
3	5	1
4	5	1
5	5	1
6	5	1
7	5	1
8	5	0.964143426294821
9	5	0.946067415730337
10	5	0.920739762219287
11	5	0.920353982300885
12	5	0.916877850988343
13	5	0.917173009274065
14	5	0.898904966757919
15	5	0.870676863371761
16	5	0.821382799325464
17	5	0.790180732612555
18	5	0.751698968034231
19	5	0.721079236292218
20	5	0.690539914018376
21	5	0.663261016707634
22	5	0.635393261213537
23	5	0.604909892357027
24	5	0.566604866927795
25	5	0.514368191305361
26	5	0.461143241340977
27	5	0.41744867751485
28	5	0.37814740393441

0	6	1
1	6	1
2	6	1
3	6	1
4	6	1
5	6	0.9375
6	6	1
7	6	0.96875
8	6	0.936254980079681
9	6	0.936681222707424
10	6	0.919540229885057
11	6	0.910207214121259
12	6	0.907869481765835
13	6	0.895430849432689
14	6	0.878241262683202
15	6	0.845033112582781
16	6	0.788522986631888
17	6	0.752954065263323
18	6	0.711796148495277
19	6	0.679616501670779
20	6	0.645477445871111
21	6	0.614128795150983
22	6	0.586056769140098
23	6	0.550751298067605
24	6	0.505769678344499
25	6	0.452419715131644
26	6	0.403030648049434
27	6	0.360284369873139
28	6	0.326281676287112

0	7	1
1	7	1
2	7	1
3	7	1
4	7	1
5	7	1
6	7	0.984375
7	7	0.953125
8	7	0.964143426294821
9	7	0.94
10	7	0.903520208604954
11	7	0.891509433962264
12	7	0.884446611409069
13	7	0.877740043223217
14	7	0.85426944971537
15	7	0.820104642101748
16	7	0.764364403984432
17	7	0.731755816265659
18	7	0.693425776897363
19	7	0.653213586716333
20	7	0.622032629538859
21	7	0.590547994072773
22	7	0.561132457980717
23	7	0.519681648377695
24	7	0.47138961928971
25	7	0.415722284026043
26	7	0.366196585127686
27	7	0.326590317089766
28	7	0.293667882280434

0	8	1
1	8	1
2	8	1
3	8	1
4	8	1
5	8	1
6	8	1
7	8	0.96875
8	8	0.924302788844621
9	8	0.924778761061947
10	8	0.889175257731959
11	8	0.883577486507325
12	8	0.866987951807229
13	8	0.856967840735069
14	8	0.838697534349708
15	8	0.80613154960981
16	8	0.750626731758807
17	8	0.715640943877551
18	8	0.672575573766433
19	8	0.632291650283881
20	8	0.600354732829096
21	8	0.569446328296666
22	8	0.535337124289196
23	8	0.493769587975649
24	8	0.44469711250516
25	8	0.388308745549072
26	8	0.34217531968619
27	8	0.304674516202941
28	8	0.273535658038029

0	9	1
1	9	1
2	9	1
3	9	0.875
4	9	1
5	9	0.96875
6	9	0.984375
7	9	0.9765625
8	9	0.908366533864542
9	9	0.891592920353982
10	9	0.885786802030457
11	9	0.853584905660377
12	9	0.845693228926762
13	9	0.832508010486455
14	9	0.818198296175458
15	9	0.7895192724123
16	9	0.730605670103093
17	9	0.704746959591997
18	9	0.65746463733418
19	9	0.613247233045125
20	9	0.581960949910519
21	9	0.546962399265804
22	9	0.513758527539948
23	9	0.472806004991262
24	9	0.422057539575721
25	9	0.368167841969252
26	9	0.322483681417851
27	9	0.287035100150809
28	9	0.257728212191072

0	10	1
1	10	1
2	10	1
3	10	1
4	10	1
5	10	1
6	10	1
7	10	0.96875
8	10	0.908366533864542
9	10	0.906873614190687
10	10	0.873239436619718
11	10	0.847094801223242
12	10	0.847313854853911
13	10	0.838399037014746
14	10	0.822280178837556
15	10	0.780503978779841
16	10	0.723647848401105
17	10	0.694096102551853
18	10	0.652494190932911
19	10	0.605080109417741
20	10	0.568366152852877
21	10	0.538506285102969
22	10	0.503057699844153
23	10	0.45793264999824
24	10	0.406372293092216
25	10	0.352000496289888
26	10	0.305719818722674
27	10	0.272551901229055
28	10	0.245899142110472
