V1,KillerooKd,KillerooKdTotal,FeetKd,FeetKdTotal,KillerooBSP,KillerooBSPTotal,FeetBSP,FeetBSPTotal
0,0,0,0,0,0,0,0,0
1,20.1321062426897,3347075,14.6446122777938,21612731,16.9639502518699,2247605,14.7958711657469,15957735
2,44.5636110378972,7408949,35.3237004740345,52131229,38.0645033225147,5043281,32.5724070018437,35130195
3,64.5065807716048,10724579,52.8158196901834,77946352,58.1769062249468,7708034,50.5996210272941,54573018
4,83.1728294472883,13827947,71.6726232983388,105775496,79.9909761284028,10598246,71.9858419390119,77638618
5,89.0752779545805,14809262,78.7120954477144,116164451,90.9921216981845,12055821,84.8285107060262,91489773
6,94.1950820537873,15660458,86.2164126061671,127239431,96.3461697831327,12765195,92.5834097941541,99853635
7,95.6781480657672,15907026,88.9272140159025,131240071,98.5775175175266,13060833,96.8587254188405,104464675
8,96.916723035702,16112946,91.8633554004474,135573271,99.5544142627287,13190265,98.8893111935656,106654715
9,97.6478503759092,16234500,93.6720522374055,138242572,99.908727267293,13237209,99.7756623849163,107610668
10,98.0305743723008,16298130,94.6239062878424,139647332,99.9484274718774,13242469,99.8656833767101,107707758
11,98.244215321976,16333649,95.1599404610806,140438419,99.9988225794838,13249146,99.996456275305,107848800
12,99.0621367415157,16469633,97.4106867591468,143760103,99.9988225794838,13249146,99.996456275305,107848800
13,99.3688873480216,16520632,98.2576075669239,145010001,100,13249302,100,107852622
14,99.5699753355647,16554064,98.8104209493159,145825851,100,13249302,100,107852622
15,99.6377324598669,16565329,98.9930150367341,146095326,100,13249302,100,107852622
16,99.7828584159401,16589457,99.3940952565115,146687246,100,13249302,100,107852622
17,99.9112871880751,16610809,99.7567614341556,147222474,100,13249302,100,107852622
18,99.9992000268502,16625425,99.998596707097,147579378,100,13249302,100,107852622
19,100,16625558,100,147581449,100,13249302,100,107852622
