D,Pbsppaper,Pbsppaperkd,Pkdtree,Pbsparbitraryfastkd,Pbspclusterfastkd,Pbsprandomfastkd,Prbsp,Prbspkd
0,0,0,0,0,0,0,0,0
1,0.0590892319463198,0.0563925447161381,0.0183948103139005,0.0373101260079091,0.0394735542508782,0.228996159686322,0.213416399607258,0.180526308540661
2,0.331485685220689,0.370407179973611,0.249242025739863,0.478458359606408,0.432936836002248,0.439390238295993,0.437014039201442,0.417818506309329
3,0.413243630470954,0.435589590227141,0.290145113831564,0.509321614324947,0.465362267354766,0.531973536059722,0.479512136806924,0.474833518392322
4,0.559097675222112,0.651874941638318,0.483650493723637,0.708445600423874,0.650769982032077,0.708726098906045,0.567828033082125,0.608831127049304
5,0.618149284542665,0.68844561932954,0.51069157495961,0.727416458516263,0.665391581622784,0.744719429811154,0.64264737704826,0.657049369420789
6,0.687892040688255,0.806070991400079,0.602213384621843,0.836235860925732,0.757163945100621,0.812996653678491,0.675382372259867,0.699639646100388
7,0.712564887468357,0.827378056239795,0.618919905222273,0.841679797550981,0.762048512435591,0.832260382333557,0.693997414931478,0.716693669922321
8,0.798413641012352,0.875837044903253,0.72173004990437,0.897429945448787,0.851835505972384,0.902625295770489,0.74926083237123,0.809502018533791
9,0.814359690198938,0.883906341746206,0.751828352825655,0.906955081819267,0.860234023281833,0.918160876832489,0.772589763394141,0.823602672393046
10,0.8552884750829,0.903940175302626,0.783888198066247,0.927311299097582,0.909751596366877,0.930380425665073,0.8054211879465,0.8587985745733
11,0.914613175078285,0.922779493512919,0.803920763984077,0.932097613788672,0.932429662146878,0.936169019682105,0.827195397797409,0.869840797023839
12,0.933690943180752,0.944024212759747,0.82890513715101,0.940720746902827,0.948355745553195,0.945554648686918,0.852462922973585,0.896749441737801
13,0.943658173113823,0.949687234291382,0.837214627438192,0.943358377471951,0.951058380545958,0.954157651998328,0.867985429002487,0.90392715677747
14,0.948376689665678,0.961699719101071,0.871906034786263,0.953786787340051,0.960256083353519,0.962697855418712,0.882695142869831,0.918080185740115
15,0.950432123392218,0.962512838533806,0.879320964924422,0.954373655196293,0.960921050027791,0.966423200692116,0.893504355908589,0.922719524642467
16,0.953172515088704,0.968911714671857,0.89507241465839,0.962927452789965,0.968079150244413,0.974487548321574,0.911963896315603,0.934413325665499
17,0.953862430630084,0.969561709935877,0.898139636391739,0.963387781501497,0.968184490706033,0.975653494618228,0.921457267362842,0.940426249779558
18,0.956870940088234,0.978601747276431,0.912205993970435,0.972027702546792,0.975838066279213,0.977959927149812,0.932385050708651,0.949903465640559
19,0.957822718034471,0.979116398660202,0.917534558202295,0.972236373346166,0.976105081597708,0.978944282823779,0.934245597845905,0.952083582578222
20,0.960885948636366,0.985859500136635,0.934470365387473,0.981310045396722,0.984307809580004,0.986224326608604,0.954774872380463,0.96906695834757
