D,Pbsppaper,Pbsppaperkd,Pkdtree,Pbsparbitraryfastkd,Pbspclusterfastkd,Pbsprandomfastkd,Prbsp,Prbspkd
0,0,0,0,0,0,0,0,0
1,0.146959057061189,0.157119527336406,0.144305395426121,0.406153698316281,0.404505876215115,0.371603342960166,0.222908937876133,0.305257063861796
2,0.322604526272625,0.391680481877175,0.349861747021091,0.606144330524487,0.597037944351204,0.647205200625535,0.418234372976064,0.556172983920652
3,0.503463167636673,0.608697027203988,0.526809123425915,0.791467041954185,0.790523960276943,0.882973194674255,0.631802672692883,0.787684234039152
4,0.718801530547081,0.824763777638774,0.717517043111256,0.929822745646303,0.928411575468397,0.970046958231042,0.818668670171424,0.943342282127707
5,0.848245907873897,0.914960808519241,0.788380410739048,0.975632121571932,0.974966422070495,0.988217475797412,0.868007729644248,0.973738812467831
6,0.926147560699991,0.966321557412678,0.86339714848112,0.994945094302866,0.99519930615595,0.997641606582475,0.906684714912075,0.993243189926242
7,0.968923397165704,0.987219436741708,0.890313289062946,0.998155799539744,0.998352161689581,0.999006879417935,0.93446587657375,0.995056734484901
8,0.989355303501772,0.996165981270612,0.919990279963743,0.999762823141901,0.999923296917915,0.99914113146595,0.949864051936076,0.99957436048551
9,0.998010781372975,0.99721939829046,0.937603515357238,0.999977994429814,0.999964888525198,0.999999868483495,0.952200222385526,0.999996437065561
10,0.998758508721002,0.997378231995294,0.946983039306877,0.99999444719257,0.999989673095647,1,0.952447738916687,0.999999278669715
11,0.999962215261111,1,0.952101340187621,0.99999444719257,0.999999328751217,1,0.952447738916687,1
12,0.999962215261111,1,0.97468997583685,1,0.999999328751217,1,0.957411784561153,1
13,1,1,0.982772186543137,1,1,1,0.957411784561153,1
14,1,1,0.988289538234068,1,1,1,0.957416599409043,1
15,1,1,0.990130693354252,1,1,1,0.98971672509429,1
16,1,1,0.993936236176617,1,1,1,0.990511112465707,1
17,1,1,0.997531125132052,1,1,1,0.990521565479633,1
18,1,1,0.999990356885161,1,1,1,0.990521565479633,1
19,1,1,1,1,1,1,0.990521565479633,1
20,1,1,1,1,1,1,0.990521565479633,1
