D,Pbsppaper,Pbsppaperkd,Pkdtree,Pbsparbitraryfastkd,Pbspclusterfastkd,Pbsprandomfastkd,Prbsp,Prbspkd
0,0,0,0,0,0,0,0,0
1,0.0227269226885268,0.011667179035431,0.00552779551207263,0.0169665294943168,0.0172749576808618,0.0626721766325666,0.00132481015254733,0.0311515569399222
2,0.162671584555657,0.15565486073417,0.0762342576654427,0.205545284120421,0.189743214084352,0.19990360701991,0.00666966706812571,0.138199066564543
3,0.255959322127562,0.220300359707017,0.0897876651209087,0.2266130855682,0.21480314843184,0.281100986950373,0.010986668394311,0.176079595485302
4,0.641361828730662,0.554638370383603,0.277985252079112,0.553325227406456,0.56264993877876,0.557225775213169,0.0333822918241798,0.44278561749341
5,0.684398290986487,0.600301910582192,0.296406047345317,0.569522694413217,0.581418746652204,0.578554192090068,0.0347237708386712,0.465324222057796
6,0.774177482239274,0.680662003780917,0.371100255489252,0.632154136846176,0.647973751210923,0.616370820776214,0.0366192677028103,0.508250124707312
7,0.798539914271783,0.698922283595309,0.382097931645726,0.639444843716754,0.654718598278693,0.663573506068219,0.0377392004741244,0.524961965238939
8,0.8547565466251,0.863111617700581,0.522248681721015,0.893365858815499,0.893183178454988,0.869182081399853,0.0424671513721325,0.636919941794368
9,0.866240954555359,0.872632719667129,0.528267047401257,0.897312766871575,0.896450384809041,0.880811782190709,0.0429145113991991,0.648348022247187
10,0.901897062661642,0.907294195562105,0.571744514247302,0.927617650406442,0.927159361718769,0.902446876098448,0.0442617159361757,0.687129988493288
11,0.909504550330118,0.919103421610173,0.581824107180934,0.928666464765687,0.928710140135833,0.910010477433807,0.0444758622449955,0.693207829322116
12,0.921075953875624,0.959224141686078,0.638021280765796,0.977534124297274,0.973963407976895,0.927363290876839,0.0460484344565205,0.741276193130009
13,0.924813517385275,0.962571176910972,0.641721909389584,0.978109354802005,0.974642532604177,0.932975133413784,0.0461809412335405,0.7440326876683
14,0.943698482511076,0.972233933304867,0.666715794808546,0.984028939925167,0.980317666023653,0.942152252785016,0.0468610347179953,0.762017622709249
15,0.945032545470111,0.973479095996537,0.672019792657222,0.984232940017668,0.980687848961047,0.946832390994284,0.0471492085145314,0.768865318410569
16,0.949530695691923,0.980256131857611,0.698049354317068,0.989813096544145,0.986005779906189,0.95651964422542,0.0478908346396882,0.788178867742571
17,0.950336206841126,0.980622656015132,0.701621507913738,0.989840879596142,0.986199785454068,0.962911062261072,0.0479772047327142,0.79692679220748
18,0.964032367283274,0.990844367251118,0.746901972925431,0.998512544616345,0.995360480785773,0.970620199873327,0.0491174431734168,0.831724740061939
19,0.964358237673497,0.991375313653018,0.747482429115776,0.998557413154513,0.995642020808976,0.977929906670501,0.0492510895413153,0.834154148469697
20,0.966873627906009,0.994241143671117,0.791632644551373,0.999066711696891,0.998072353517343,0.981930650544471,0.0500198829929262,0.861439085598409
