D,Pbsppaper,Pbsppaperkd,Pkdtree,Pbsparbitraryfastkd,Pbspclusterfastkd,Pbsprandomfastkd,Prbsp,Prbspkd
0,0,0,0,0,0,0,0,0
1,0.013402376330083,0.0260958562994394,0.0420413441140522,0.0672759029237744,0.0685683651918671,0.36100450726544,0.121028464997405,0.228366135245198
2,0.0926923831823141,0.243489468744264,0.335042845156539,0.434309799699307,0.429768143323979,0.733448112308517,0.304490233852249,0.575496634713084
3,0.148120065262138,0.386982651512559,0.479063689785873,0.587037424087364,0.585966299838324,0.867066598952404,0.383344198944296,0.707268204436377
4,0.223540510286292,0.663499766678384,0.756541535189418,0.836421004934701,0.846134854810779,0.950890536277069,0.564270078678187,0.843189929774908
5,0.286863463021662,0.785567360144787,0.833110945074668,0.881571889954348,0.89118199630747,0.970205570634588,0.642536190636308,0.9081100609941
6,0.366129353693064,0.841416477321769,0.904666859879126,0.930618170958655,0.936590255671532,0.984369141413521,0.726142714513338,0.931480316556458
7,0.419820053161478,0.875190860930289,0.937160597776742,0.950723305472933,0.958165235678801,0.988899323901443,0.770750165176362,0.946392581019731
8,0.584007648493497,0.927011163861994,0.972456005404865,0.987599968808732,0.985338714188234,0.992974213917365,0.831476984520062,0.97038726597745
9,0.792694940147299,0.935064653310334,0.978410026547764,0.99007514235501,0.993446371469631,0.99756157302055,0.914574032065731,0.980719733611653
10,0.807999528678189,0.941005195849813,0.984152600311447,0.996361475445542,0.996428447412335,0.998526750112634,0.957862420070712,0.985344317867959
11,0.81856128334249,0.949123216002618,0.98557131270279,0.99681759368037,0.997107897645953,0.998686451839525,0.965204317681771,0.986230199101989
12,0.840898950141554,0.955819891383934,0.993705199321005,0.998752475813962,0.998732258253124,0.998985192505176,0.96943956885011,0.995734356640706
13,0.900820480876566,0.983355630613303,0.993923668786976,0.999129472432432,0.998789504046029,0.999014848591629,0.971975817880205,0.995902175463126
14,0.920232146109687,0.986068004976401,0.994524678917755,0.999298173813779,0.998926720953475,0.999127913365449,0.981031382584112,0.996411356504406
15,0.928921206062391,0.993204289789065,0.994629102190629,0.999439126542904,0.999098214004092,0.999156984574568,0.983746950780744,0.996540971123875
16,0.947412508452035,0.993393561259589,0.999560278083536,0.999485461164579,0.999150112662495,0.99983015896053,0.986416571088471,0.999059445392891
17,0.959975785975243,0.99439036618559,0.999569493618018,0.999552669593749,0.999151497188393,0.999834726830916,0.98753506996442,0.999214115685151
18,0.965460615512993,0.995942103862038,0.999662838943683,0.999622250840498,0.99917751391845,0.999909353725417,0.989147832807343,0.999428134622348
19,0.965870550537119,0.995999836164244,0.99967148075688,0.999624062793119,0.999185322120285,0.999918436589826,0.989586352296687,0.999578354697995
20,0.969417712512999,0.996043289569858,0.999876918787387,0.999739238395335,0.999282847413078,0.99993729942336,0.989734598028275,0.999742559018502
