D,Pbsppaper,Pbsppaperkd,Pkdtree,Pbsparbitraryfastkd,Pbspclusterfastkd,Pbsprandomfastkd,Prbsp,Prbspkd
0,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,0.5,1
2,0,1,1,1,1,1,0.25,1
3,0.25,1,1,1,1,1,0.5,1
4,0.625,0.8125,1,1,0.9375,0.9375,0.6875,0.8125
5,0.65625,0.96875,1,1,1,1,0.53125,0.9375
6,0.640625,0.951612903225806,1,0.983606557377049,0.950819672131147,0.950819672131147,0.640625,0.935483870967742
7,0.755905511811024,0.975409836065574,1,1,0.975,0.983333333333333,0.704,0.926229508196721
8,0.760330578512397,0.95,1,0.976525821596244,0.972222222222222,0.940639269406393,0.644628099173554,0.88
9,0.739420935412027,0.968137254901961,1,0.99234693877551,0.974683544303797,0.925558312655087,0.599118942731278,0.87914691943128
10,0.807598039215686,0.943019943019943,1,0.973724884080371,0.975497702909648,0.887142857142857,0.641737032569361,0.880165289256198
11,0.817415730337079,0.926660914581536,1,0.946728971962617,0.943726937269373,0.852195945945946,0.635474860335196,0.836348684210526
12,0.805989034162801,0.918617021276596,1,0.921499707088459,0.911595866819747,0.84354091610911,0.575694732476151,0.823792931806869
13,0.803478712357217,0.902364864864865,1,0.870641169853768,0.869144981412639,0.827075098814229,0.574173712528824,0.784834123222749
14,0.800297078725862,0.877666521549848,1,0.827568922305764,0.810051736881005,0.800915830789359,0.532258064516129,0.743674141123226
15,0.778920308483291,0.839493743707752,1,0.760427438814202,0.755509994874423,0.749157509157509,0.470652292279212,0.680599046970728
16,0.76488137519534,0.794302591463415,1,0.707755895939703,0.704134212103056,0.694513591556308,0.45513817885456,0.626672735548475
17,0.752218622341175,0.781314566115702,1,0.662195642887655,0.66085141903172,0.645652762730228,0.424328076961222,0.592023394723743
18,0.732677250642156,0.766552337949898,1,0.643476223940033,0.629151501364877,0.593004841409891,0.38527920486216,0.552105683873953
19,0.716193860670302,0.761667331471879,1,0.601929708993684,0.591328934967012,0.538241430700447,0.357393290958855,0.480145608136271
20,0.69871218513549,0.748919570122767,1,0.543775290346314,0.530240032650562,0.493399535012019,0.324033608272806,0.421511305184472
21,0.663323449037735,0.721114885605533,1,0.533080536532911,0.518622383518457,0.45175718001805,0.289594487145508,0.389736040864598
22,0.61788949817332,0.690620837201792,1,0.519151827813835,0.500917728352408,0.407822922983626,0.265763014820883,0.370772086313215
23,0.570731011303645,0.673545966228893,1,0.480483956890546,0.464587251410508,0.377677483591201,0.248940855647958,0.358266670042023
24,0.519514594949164,0.635362353765938,1,0.446905920091565,0.439848483727537,0.352934377438091,0.240907541349894,0.350515415213961
25,0.458005453708091,0.577162934770072,1,0.42123630796249,0.41133199586601,0.33204965351627,0.232304520014401,0.333106433165767
26,0.399489440972362,0.513815069563858,1,0.390199199344041,0.382883659950317,0.307960233432519,0.224863941360449,0.310240702747999
27,0.345069041054089,0.448387052322617,1,0.356499783213038,0.351534634794634,0.281582014007416,0.217621190854856,0.281895707370364
