D,Pbsppaper,Pbsppaperkd,Pkdtree,Pbsparbitraryfastkd,Pbspclusterfastkd,Pbsprandomfastkd,Prbsp,Prbspkd
0,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1
2,0,1,1,1,1,1,1,1
3,0,0.875,1,1,1,1,0.25,1
4,0.375,0.8125,1,1,1,0.9375,0.75,0.875
5,0.40625,0.8125,1,1,0.96875,0.96875,0.6875,0.875
6,0.578125,0.875,1,1,0.96875,0.890625,0.765625,0.90625
7,0.574803149606299,0.976377952755906,1,0.983870967741935,0.991935483870968,0.983870967741935,0.6796875,0.96
8,0.62753036437247,0.934156378600823,1,0.97008547008547,0.970338983050847,0.961864406779661,0.63855421686747,0.921161825726141
9,0.696390658174098,0.947252747252747,1,0.967058823529412,0.952164009111617,0.949771689497717,0.630705394190871,0.883928571428571
10,0.713483146067416,0.933177022274326,1,0.936610608020699,0.936788874841972,0.926889714993804,0.706652126499455,0.875
11,0.743742550655542,0.935586734693878,1,0.938428874734607,0.941998602375961,0.912139503688799,0.665110851808635,0.883067092651757
12,0.788486005089059,0.935654008438819,1,0.933280063923292,0.934143473147785,0.909497206703911,0.665914221218962,0.865432538269847
13,0.803568305055099,0.921995644426846,1,0.911015020482476,0.913850973372119,0.885225110970197,0.643877735576054,0.846592065106816
14,0.831611364991059,0.921611385286354,1,0.897940074906367,0.899313803114278,0.86353550295858,0.63440527726242,0.830321046373365
15,0.825153550312841,0.909479251423922,1,0.891766215024453,0.885380486264604,0.832149071925754,0.615125553914328,0.788778192887782
16,0.82115987989609,0.882768932352703,1,0.876770538243626,0.865442692104885,0.786214903039945,0.586341798215511,0.745326149073394
17,0.803110275233068,0.859544932424176,1,0.851370069256248,0.841197661371287,0.732429384323576,0.543823938410689,0.696277165968229
18,0.777363832799344,0.823018180175024,1,0.819759348601285,0.806342439370992,0.67944099378882,0.499987895807108,0.637161862527716
19,0.749874553095402,0.790530259804481,1,0.782337165702366,0.779534544570699,0.630600476249677,0.453108488249215,0.588358803016195
20,0.720719309592142,0.760150408224606,1,0.745493282244812,0.743602140140527,0.577315126454467,0.412347188264059,0.540947690315569
21,0.689138302197399,0.724960492120654,1,0.700776114054048,0.700051837503069,0.53092953250245,0.373718537599228,0.496147364707384
22,0.653177483046433,0.692776883416364,1,0.653376779309626,0.656811101244676,0.486436860716845,0.336795158084766,0.456475241944007
23,0.618465823641468,0.660814596222119,1,0.603973311546841,0.61166484045994,0.445737208470905,0.298944752702506,0.420469929118388
24,0.583950687542333,0.626454658398186,1,0.559350631494176,0.564785529149093,0.406010273280035,0.267566650181853,0.384612745518484
25,0.54889576242446,0.590518578576635,1,0.51258630662026,0.517791846767616,0.366592152324847,0.241247918625914,0.349471529052015
26,0.510692425883479,0.556612720783484,1,0.464609412736296,0.473296916712135,0.328824677089369,0.217930335529212,0.315546519940268
27,0.469242443260267,0.523524938521602,1,0.414503541114047,0.426002736233226,0.291287126627387,0.196784612842233,0.281293187341983
28,0.423350615083066,0.482564634807793,1,0.366066853642501,0.379345612961141,0.254525286914502,0.181467768807622,0.247997453454963
29,0.376878963126099,0.435231031298788,1,0.319834293305942,0.335674531581672,0.220534265737489,0.169043421176302,0.217226065432689
30,0.330836998240145,0.384220176304824,1,0.278157771715549,0.295654419312364,0.190117755931543,0.158513839663274,0.191724003564507
31,0.288369326957497,0.332399089691295,1,0.243110058750277,0.261119640594693,0.162050005062699,0.149347104296525,0.171439498220458
32,0.253146190699698,0.285699341228643,1,0.213408448264603,0.229210386204112,0.138593519777815,0.142051256719852,0.155620499830176
33,0.226701784508697,0.247530012145859,1,0.188859264940224,0.201128566413611,0.119753014921305,0.136519763917996,0.143963630518721
