D,Pbsppaper,Pbsppaperkd,Pkdtree,Pbsparbitraryfastkd,Pbspclusterfastkd,Pbsprandomfastkd,Prbsp,Prbspkd
0,0,1,1,1,1,1,1,1
1,0,1,1,1,1,1,0,1
2,1,1,1,1,1,1,1,1
3,0,0.5,1,1,1,1,0.5,0.5
4,0.25,0.9375,1,1,1,1,0.5,1
5,0.46875,0.84375,1,0.875,1,1,0.34375,1
6,0.4375,1,1,1,1,1,0.609375,0.921875
7,0.6328125,0.9375,1,0.9609375,0.9921875,0.96875,0.661417322834646,0.9296875
8,0.714859437751004,0.940239043824701,1,0.924302788844621,0.944223107569721,0.908366533864542,0.649193548387097,0.888446215139442
9,0.760683760683761,0.963282937365011,1,0.947252747252747,0.913636363636364,0.906873614190687,0.676595744680851,0.905494505494505
10,0.784472769409038,0.921780986762936,1,0.893979057591623,0.903137789904502,0.873239436619718,0.609392898052692,0.877575757575758
11,0.806009144350098,0.914067914067914,1,0.885057471264368,0.894645941278066,0.847094801223242,0.570231958762887,0.812193412754029
12,0.796310530361261,0.883193277310924,1,0.871450696954053,0.882480957562568,0.847313854853911,0.563833770123549,0.806751054852321
13,0.809724170172978,0.886753246753247,1,0.849302030456853,0.866553480475382,0.838399037014746,0.555355129650507,0.782691264243082
14,0.827712197863969,0.866740261788361,1,0.788931297709924,0.791691995947315,0.822280178837556,0.545099134320022,0.765333785157574
15,0.822992071699414,0.861219072897905,1,0.769274312238198,0.767081872052243,0.780503978779841,0.526033093649831,0.752102564102564
16,0.818560067414547,0.862530273324876,1,0.752787975341137,0.763405526512323,0.723647848401105,0.503184369602763,0.691926302258677
17,0.795255033776066,0.828433803215981,1,0.705922746781116,0.742105508652456,0.694096102551853,0.480888254097803,0.646311278584358
18,0.769882498453927,0.801231466868206,1,0.65942404804149,0.692843949234344,0.652494190932911,0.439918050463662,0.595519301470588
19,0.740564908641187,0.760153996959839,1,0.617923013806143,0.63519487288381,0.605080109417741,0.409956259112685,0.551211244557436
20,0.713703671252081,0.713953228569301,1,0.574979089496953,0.59354524979525,0.568366152852877,0.383464115876667,0.522913605990237
21,0.687602554567884,0.672865558501383,1,0.538094925059164,0.553130624559817,0.538506285102969,0.353730792275151,0.489783071247812
22,0.657702551765616,0.645506937224393,1,0.498013645643689,0.512031090152969,0.503057699844153,0.321901153469224,0.457115655090339
23,0.624248646031714,0.633181827216771,1,0.460162366765367,0.468848708583016,0.45793264999824,0.294649404902881,0.420047996366515
24,0.581352743010727,0.623880252269623,1,0.414579347777728,0.420662089540821,0.406372293092216,0.272252404985869,0.377584767819641
25,0.530096413330641,0.595423067322744,1,0.367385934660018,0.370503946098286,0.352000496289888,0.25424861561963,0.332480710320063
26,0.474437532796921,0.547109348120239,1,0.324715542384136,0.32427737231882,0.305719818722674,0.243658754107974,0.298655447582991
27,0.417667807102311,0.484857995886044,1,0.285958274640442,0.285358650123126,0.272551901229055,0.231645095509593,0.272124714368541
28,0.362013685510847,0.421329445981682,1,0.254708111261519,0.25098893515406,0.245899142110472,0.218815456354694,0.246061085120268
